Add To Cart,Bestellen,,
Add to Cart,Bestellen,,
You're reviewing:,Laat je review achter voor:,module,Magento_Review
This is a required field.,Dit is een verplicht veld.,module,Magento_Catalog
Adding...,Aan het toevoegen,module,Magento_Catalog
Added,Toegevoegd!,module,Magento_Catalog
"You added %1 to your <a href=""%2"">shopping cart</a>.",%1 is toegevoegd aan je <a href=%2>winkelwagen</a>.,module,Magento_Checkout
Submit Review,Sla recensie op,module,Magento_Review
Nickname,Naam,module,Magento_Review
Summary,Onderwerp,module,Magento_Review
Customer Reviews,Recensies,module,Magento_Review
Review by,Geplaatst door,module,Magento_Review
Posted on,Geplaatst op,module,Magento_Review
Summary,Onderwerp,module,Magento_Theme
You have no items in your shopping cart.,Je hebt geen artikelen in je winkelwagen,module,Magento_Checkout
"Click <a href=""%1"">here</a> to continue shopping.","Klik <a href=""%1"">hier</a> om door te gaan met winkelen.",module,Magento_Checkout
Shopping Cart,Winkelwagen,module,Magento_Checkout
Please enter a number greater than 0 in this field.,Graag een nummer boven 0 invoeren.,module,Magento_QuoteGraphQl
Please enter a number greater than 0 in this field.,Graag een nummer boven 0 invoeren.,lib,lib/web/mage/validation.js
Please enter a number greater than 0 in this field.,"Graag een nummer boven 0 invoeren, gebruik de verwijder knop om te verwijderen.",module,Magento_Ui
Item,Artikel,module,Magento_Checkout
Price,Prijs,module,Magento_Checkout
Qty,Aantal,module,Magento_Checkout
Subtotal,Subtotaal,module,Magento_Checkout
Continue Shopping,Doorgaan met winkelen,module,Magento_Checkout
Clear Shopping Cart,Winkelwagen Leegmaken,module,Magento_Checkout
Update Shopping Cart,Winkelwagen Updaten,module,Magento_Checkout
Update Cart,Winkelwagen Updaten,module,Magento_Checkout
Tax,BTW,module,Magento_Tax
Order Total,Totaal,module,Magento_Checkout
Remove Item,Verwijder Artikel,module,Magento_Multishipping
Remove item,Verwijder Artikel,module,Magento_Multishipping
Proceed to Checkout,Naar Betalen,module,Magento_Checkout
Attention,Let op,module,Magento_Ui
OK,Oke,module,Magento_Ui
Close,Sluiten,module,Magento_Ui
Ok,Oke,module,Magento_Ui
Cancel,Annuleren,module,Magento_Variable
Save,Opslaan,module,Magento_Variable
Cancel,Annuleren,module,Magento_Vault
The requested qty exceeds the maximum qty allowed in shopping cart,Het aantal artikelen overschrijdt het limiet wat ingesteld is op de web winkel. ,module,Magento_InventorySales
The requested qty is not available,Dit artikel is niet voorradig door het uw opgevraagde hoeveelheid.,module,Magento_InventorySales
Summary Cart,Betaaloverzicht,module,Magento_Checkout
Guest checkout is disabled.,Je moet inloggen om te kunnen betalen.,module,Magento_PaypalGraphQl
Guest checkout is disabled.,Je moet inloggen om te kunnen betalen.,module,Magento_Customer
Guest checkout is disabled.,Je moet inloggen om te kunnen betalen.,module,Magento_Checkout
Checkout as a new customer,Betalen met een nieuw account,module,Magento_Customer
Creating an account has many benefits:,Met een account kun je:,module,Magento_Customer
