[03-Jun-2015 07:03:27 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/edit.phtml on line 6
[03-Jun-2015 07:03:38 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/index.phtml on line 6
[03-Jun-2015 07:03:49 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/config.phtml on line 6
[03-Jun-2015 07:03:57 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/create.phtml on line 6
[03-Jun-2015 07:04:34 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/show.phtml.php on line 6
[03-Jun-2015 07:04:42 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/edit.phtml.php on line 6
[03-Jun-2015 07:04:59 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/index.phtml.php on line 6
[03-Jun-2015 07:05:07 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/questions.phtml on line 6
[03-Jun-2015 07:05:56 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/create.phtml.php on line 6
[03-Jun-2015 07:06:00 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/edit_vraag.phtml on line 6
[03-Jun-2015 07:06:04 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/config.phtml.php on line 6
[03-Jun-2015 07:07:22 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/questions.phtml.php on line 6
[03-Jun-2015 07:07:30 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/edit_vraag.phtml.php on line 6
[08-Jun-2015 22:37:54 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/edit.phtml on line 6
[10-Jun-2015 04:15:08 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/index.phtml on line 6
[10-Jun-2015 04:18:40 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/config.phtml on line 6
[10-Jun-2015 04:52:34 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/create.phtml on line 6
[10-Jun-2015 21:17:46 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/edit.phtml.php on line 6
[11-Jun-2015 02:20:54 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/show.phtml.php on line 6
[11-Jun-2015 11:11:23 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/index.phtml.php on line 6
[11-Jun-2015 18:46:06 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/edit_vraag.phtml on line 6
[12-Jun-2015 08:39:44 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/edit_vraag.phtml.php on line 6
[12-Jun-2015 16:14:26 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/questions.phtml on line 6
[12-Jun-2015 17:30:20 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/config.phtml.php on line 6
[12-Jun-2015 22:33:22 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/create.phtml.php on line 6
[13-Jun-2015 07:03:12 Europe/Berlin] PHP Fatal error:  Using $this when not in object context in /var/www/toetsmaker/app/views/editor/questions.phtml.php on line 6
